age_id,age_bracket,person_id
3,Teen,713
4,Children (6 to 10),713
1,Preteen,714
2,Adults,714
3,Teen,714
5,Elders (65+),714
2,Adults,715
1,Preteen,716
2,Adults,716
3,Teen,716
4,Children (6 to 10),716
5,Elders (65+),716
1,Preteen,717
2,Adults,717
3,Teen,717
4,Children (6 to 10),717
2,Adults,718
5,Elders (65+),718
2,Adults,719
3,Teen,719
5,Elders (65+),719
2,Adults,720
2,Adults,721
2,Adults,722
3,Teen,722
5,Elders (65+),722
1,Preteen,723
2,Adults,723
3,Teen,723
5,Elders (65+),723
2,Adults,724
3,Teen,724
5,Elders (65+),724
1,Preteen,725
2,Adults,725
3,Teen,725
5,Elders (65+),725
2,Adults,726
5,Elders (65+),726
2,Adults,727
3,Teen,727
2,Adults,728
2,Adults,729
3,Teen,729
5,Elders (65+),729
1,Preteen,730
2,Adults,730
3,Teen,730
4,Children (6 to 10),730
5,Elders (65+),730
2,Adults,731
3,Teen,731
1,Preteen,732
2,Adults,732
3,Teen,732
2,Adults,733
2,Adults,734
3,Teen,734
5,Elders (65+),734
2,Adults,735
3,Teen,735
5,Elders (65+),735
2,Adults,736
3,Teen,736
5,Elders (65+),736
0,Toddler,737
1,Preteen,737
2,Adults,737
3,Teen,737
4,Children (6 to 10),737
2,Adults,738
5,Elders (65+),738
1,Preteen,739
2,Adults,739
3,Teen,739
1,Preteen,740
2,Adults,740
3,Teen,740
4,Children (6 to 10),740
2,Adults,741
3,Teen,741
5,Elders (65+),741
2,Adults,742
4,Children (6 to 10),742
2,Adults,743
3,Teen,743
2,Adults,744
5,Elders (65+),744
2,Adults,745
5,Elders (65+),745
1,Preteen,746
2,Adults,746
3,Teen,746
1,Preteen,747
2,Adults,747
3,Teen,747
4,Children (6 to 10),747
2,Adults,748
3,Teen,748
2,Adults,749
5,Elders (65+),749
2,Adults,750
3,Teen,750
2,Adults,751
5,Elders (65+),751
2,Adults,752
3,Teen,752
5,Elders (65+),752
1,Preteen,753
2,Adults,753
3,Teen,753
5,Elders (65+),753
1,Preteen,754
2,Adults,754
3,Teen,754
1,Preteen,755
2,Adults,755
3,Teen,755
4,Children (6 to 10),755
5,Elders (65+),755
2,Adults,756
5,Elders (65+),756
2,Adults,757
5,Elders (65+),757
2,Adults,758
5,Elders (65+),758
1,Preteen,759
2,Adults,759
3,Teen,759
4,Children (6 to 10),759
5,Elders (65+),759
2,Adults,760
3,Teen,760
5,Elders (65+),760
1,Preteen,761
2,Adults,761
3,Teen,761
5,Elders (65+),761
2,Adults,762
5,Elders (65+),762
2,Adults,763
3,Teen,763
5,Elders (65+),763
0,Toddler,764
1,Preteen,764
2,Adults,764
3,Teen,764
4,Children (6 to 10),764
5,Elders (65+),764
1,Preteen,765
2,Adults,765
3,Teen,765
5,Elders (65+),765
2,Adults,766
1,Preteen,767
2,Adults,767
3,Teen,767
4,Children (6 to 10),767
2,Adults,768
3,Teen,768
5,Elders (65+),768
2,Adults,769
0,Toddler,770
1,Preteen,770
2,Adults,770
3,Teen,770
4,Children (6 to 10),770
1,Preteen,771
2,Adults,771
3,Teen,771
2,Adults,772
0,Toddler,773
2,Adults,773
4,Children (6 to 10),773
5,Elders (65+),773
1,Preteen,774
2,Adults,774
3,Teen,774
4,Children (6 to 10),774
5,Elders (65+),774
1,Preteen,775
2,Adults,775
3,Teen,775
4,Children (6 to 10),775
5,Elders (65+),775
1,Preteen,776
2,Adults,776
3,Teen,776
4,Children (6 to 10),776
2,Adults,777
3,Teen,777
1,Preteen,778
2,Adults,778
3,Teen,778
5,Elders (65+),778
2,Adults,779
1,Preteen,780
2,Adults,780
3,Teen,780
2,Adults,781
5,Elders (65+),781
2,Adults,782
3,Teen,782
2,Adults,783
3,Teen,783
5,Elders (65+),783
1,Preteen,784
2,Adults,784
3,Teen,784
4,Children (6 to 10),784
2,Adults,785
1,Preteen,786
2,Adults,786
3,Teen,786
5,Elders (65+),786
2,Adults,787
5,Elders (65+),787
1,Preteen,789
2,Adults,789
3,Teen,789
1,Preteen,790
2,Adults,790
3,Teen,790
5,Elders (65+),790
2,Adults,791
5,Elders (65+),791
2,Adults,792
5,Elders (65+),792
2,Adults,793
5,Elders (65+),793
2,Adults,794
2,Adults,795
3,Teen,795
1,Preteen,796
2,Adults,796
5,Elders (65+),796
2,Adults,797
5,Elders (65+),797
2,Adults,798
3,Teen,798
5,Elders (65+),798
2,Adults,799
3,Teen,799
5,Elders (65+),799
2,Adults,800
3,Teen,800
5,Elders (65+),800
1,Preteen,801
2,Adults,801
3,Teen,801
5,Elders (65+),801
1,Preteen,802
2,Adults,802
3,Teen,802
4,Children (6 to 10),802
0,Toddler,803
1,Preteen,803
2,Adults,803
4,Children (6 to 10),803
1,Preteen,804
2,Adults,804
3,Teen,804
5,Elders (65+),804
2,Adults,805
1,Preteen,806
3,Teen,806
4,Children (6 to 10),806
1,Preteen,807
2,Adults,807
3,Teen,807
2,Adults,808
3,Teen,808
5,Elders (65+),808
2,Adults,809
1,Preteen,810
2,Adults,810
3,Teen,810
4,Children (6 to 10),810
1,Preteen,811
2,Adults,811
3,Teen,811
2,Adults,812
3,Teen,812
2,Adults,813
3,Teen,813
5,Elders (65+),813
0,Toddler,815
1,Preteen,815
2,Adults,815
3,Teen,815
4,Children (6 to 10),815
5,Elders (65+),815
2,Adults,816
5,Elders (65+),816
2,Adults,817
3,Teen,817
2,Adults,818
5,Elders (65+),818
1,Preteen,819
2,Adults,819
3,Teen,819
4,Children (6 to 10),819
2,Adults,820
3,Teen,820
0,Toddler,821
1,Preteen,821
2,Adults,821
3,Teen,821
4,Children (6 to 10),821
5,Elders (65+),821
2,Adults,822
3,Teen,822
1,Preteen,823
2,Adults,823
3,Teen,823
4,Children (6 to 10),823
2,Adults,824
2,Adults,825
3,Teen,825
5,Elders (65+),825
2,Adults,826
3,Teen,826
5,Elders (65+),826
1,Preteen,827
2,Adults,827
3,Teen,827
4,Children (6 to 10),827
2,Adults,828
3,Teen,828
5,Elders (65+),828
2,Adults,829
3,Teen,829
4,Children (6 to 10),829
5,Elders (65+),829
2,Adults,830
5,Elders (65+),830
1,Preteen,831
2,Adults,831
3,Teen,831
4,Children (6 to 10),831
5,Elders (65+),831
2,Adults,832
5,Elders (65+),832
1,Preteen,833
2,Adults,833
3,Teen,833
5,Elders (65+),833
2,Adults,834
