disease_wiki_id,drug_id
Q1869874,https://www.drugs.com/mtm/flurazepam.html
Q1869874,https://www.drugs.com/quetiapine.html
Q1869874,https://www.drugs.com/mtm/estazolam.html
Q1869874,https://www.drugs.com/temazepam.html
Q1869874,https://www.drugs.com/diazepam.html
Q1869874,https://www.drugs.com/amitriptyline.html
Q1869874,https://www.drugs.com/mtm/butabarbital.html
Q1869874,https://www.drugs.com/risperidone.html
Q1869874,https://www.drugs.com/mtm/triazolam.html
Q18671,https://www.drugs.com/risperidone.html
Q192579,https://www.drugs.com/melatonin.html
Q718263,https://www.drugs.com/lithium.html
Q42844,https://www.drugs.com/mtm/maprotiline.html
Q42844,https://www.drugs.com/mtm/ketamine.html
Q42844,https://www.drugs.com/mtm/levomilnacipran.html
Q42844,https://www.drugs.com/mtm/amoxapine.html
Q4340209,https://www.drugs.com/mtm/nefazodone.html
Q4340209,https://www.drugs.com/mtm/ketamine.html
Q12135,https://www.drugs.com/fluoxetine.html
Q12135,https://www.drugs.com/quetiapine.html
Q12135,https://www.drugs.com/clozapine.html
Q12135,https://www.drugs.com/mtm/lamotrigine.html
Q12135,https://www.drugs.com/risperidone.html
Q12135,https://www.drugs.com/mtm/paliperidone.html
Q12135,https://www.drugs.com/aripiprazole.html
Q12135,https://www.drugs.com/sertraline.html
Q12135,https://www.drugs.com/mtm/olanzapine.html
Q12135,https://www.drugs.com/mtm/haloperidol.html
Q188638,https://www.drugs.com/mtm/lamotrigine.html
Q188638,https://www.drugs.com/fluoxetine.html
Q188638,https://www.drugs.com/quetiapine.html
Q188638,https://www.drugs.com/mtm/lurasidone.html
Q188638,https://www.drugs.com/mtm/olanzapine.html
Q188638,https://www.drugs.com/risperidone.html
Q188638,https://www.drugs.com/mtm/oxcarbazepine.html
Q188638,https://www.drugs.com/aripiprazole.html
Q188638,https://www.drugs.com/mtm/topiramate.html
Q19000444,https://www.drugs.com/mtm/phenelzine.html
Q19000444,https://www.drugs.com/mtm/pramipexole.html
Q19000444,https://www.drugs.com/mtm/amoxapine.html
Q19000444,https://www.drugs.com/mtm/imipramine.html
Q19000444,https://www.drugs.com/sertraline.html
Q19000444,https://www.drugs.com/nortriptyline.html
Q19000444,https://www.drugs.com/mtm/tranylcypromine.html
Q19000444,https://www.drugs.com/buspirone.html
Q19000444,https://www.drugs.com/paroxetine.html
Q19000444,https://www.drugs.com/alprazolam.html
Q19000444,https://www.drugs.com/temazepam.html
Q19000444,https://www.drugs.com/mtm/protriptyline.html
Q19000444,https://www.drugs.com/mtm/isocarboxazid.html
Q19000444,https://www.drugs.com/mtm/nefazodone.html
Q19000444,https://www.drugs.com/venlafaxine.html
Q19000444,https://www.drugs.com/mtm/desipramine.html
Q19000444,https://www.drugs.com/escitalopram.html
Q19000444,https://www.drugs.com/methylphenidate.html
Q19000444,https://www.drugs.com/trazodone.html
Q19000444,https://www.drugs.com/fluoxetine.html
Q19000444,https://www.drugs.com/mirtazapine.html
Q19000444,https://www.drugs.com/mtm/fluvoxamine.html
Q19000444,https://www.drugs.com/mtm/trimipramine.html
Q19000444,https://www.drugs.com/amitriptyline.html
Q19000444,https://www.drugs.com/mtm/clomipramine.html
Q19000444,https://www.drugs.com/mtm/maprotiline.html
Q19000444,https://www.drugs.com/bupropion.html
Q19000444,https://www.drugs.com/cdi/isoflurane.html
Q19000444,https://www.drugs.com/lorazepam.html
Q18553444,https://www.drugs.com/bupropion.html
Q182413,https://www.drugs.com/naltrexone.html
Q178190,https://www.drugs.com/quetiapine.html
Q178190,https://www.drugs.com/fluoxetine.html
Q178190,https://www.drugs.com/mtm/olanzapine.html
Q178190,https://www.drugs.com/mtm/clomipramine.html
Q178190,https://www.drugs.com/aripiprazole.html
Q178190,https://www.drugs.com/paroxetine.html
Q178190,https://www.drugs.com/sertraline.html
Q178190,https://www.drugs.com/escitalopram.html
Q178190,https://www.drugs.com/mtm/fluvoxamine.html
Q178190,https://www.drugs.com/lorazepam.html
